Date,Open,High,Low,Close,Volume,Market Cap
"Jul 22, 2016",664.92,666.58,646.72,650.62,134169000,10486600000
"Jul 21, 2016",665.23,666.22,660.41,665.01,60491800,10490300000
"Jul 20, 2016",672.81,672.93,663.36,665.68,94636400,10608600000
"Jul 19, 2016",672.74,673.28,667.63,672.86,61203300,10606500000
"Jul 18, 2016",679.81,681.55,668.63,673.11,69465000,10716800000
"Jul 17, 2016",661.99,682.37,661.99,679.46,74407900,10434700000
"Jul 16, 2016",663.78,666.46,659.33,660.77,50330200,10461700000
"Jul 15, 2016",659.17,667.08,659.04,663.25,81673100,10387900000
"Jul 14, 2016",652.92,662.9,652.92,658.08,98511400,10288400000
"Jul 13, 2016",664.8,668.7,654.47,654.47,131449000,10474500000
"Jul 12, 2016",648.28,675.26,646.78,664.55,138173000,10213100000
"Jul 11, 2016",648.48,659.63,644.98,647.66,107910000,10215200000
"Jul 10, 2016",650.6,652.29,641.26,649.36,102532000,10247300000
"Jul 09, 2016",666.38,666.38,633.4,650.96,180536000,10493800000
"Jul 08, 2016",640.69,666.71,636.47,666.52,141970000,10086900000
"Jul 07, 2016",678.09,682.43,611.83,640.56,258091000,10673400000
"Jul 06, 2016",670.42,681.9,670.42,677.33,134961000,10550300000
"Jul 05, 2016",683.21,683.49,665.07,670.63,130476000,10749100000
"Jul 04, 2016",658.8,683.66,650.51,683.66,92008400,10362700000
"Jul 03, 2016",704.97,704.97,649.01,658.66,129512000,11086100000
"Jul 02, 2016",676.73,703.7,676.4,703.7,112354000,10639600000
"Jul 01, 2016",672.51,686.15,669.59,676.3,134431000,10570600000
"Jun 30, 2016",640.59,675.4,636.61,673.34,138980000,10066400000
"Jun 29, 2016",644.12,644.68,628.28,639.89,142456000,10119600000
"Jun 28, 2016",658.1,659.25,637.77,647,138385000,10336800000
"Jun 27, 2016",629.35,655.27,620.52,655.27,122134000,9882840000
"Jun 26, 2016",665.93,665.98,616.93,629.37,109225000,10454900000
"Jun 25, 2016",665.28,691.73,646.56,665.12,126656000,10442000000
"Jun 24, 2016",625.58,681.73,625.27,665.3,224317000,9816730000
"Jun 23, 2016",597.44,629.33,558.14,623.98,253462000,9373190000
"Jun 22, 2016",665.91,678.67,587.48,596.12,266393000,10445300000
"Jun 21, 2016",735.88,735.88,639.07,666.65,309944000,11540000000
"Jun 20, 2016",763.93,764.08,732.73,737.23,174511000,11976700000
"Jun 19, 2016",756.69,766.62,745.63,763.78,136185000,11859800000
"Jun 18, 2016",748.76,777.99,733.93,756.23,252718000,11732600000
"Jun 17, 2016",768.49,775.36,716.56,748.91,363321000,12038900000
"Jun 16, 2016",696.52,773.72,696.52,766.31,271634000,10908900000
"Jun 15, 2016",685.68,696.3,672.56,694.47,99223800,10736600000
"Jun 14, 2016",704.5,704.5,662.8,685.56,186694000,11028900000
"Jun 13, 2016",671.65,716,664.49,704.38,243295000,10511900000
"Jun 12, 2016",609.68,684.84,607.04,672.78,277085000,9539850000
"Jun 11, 2016",578.67,607.12,578.67,606.73,82357000,9052360000
"Jun 10, 2016",575.84,579.13,573.33,577.47,66991900,9005920000
"Jun 09, 2016",582.2,582.2,570.95,574.63,71301000,9103080000
"Jun 08, 2016",577.17,582.84,573.13,581.64,80265800,9022250000
"Jun 07, 2016",585.45,590.26,567.51,576.6,107770000,9149580000
